date,song_name,song_artist,response
2017-09-11,Be Thou My Vision,Kings Kaleidoscope,0
2017-09-11,Seasons Change,United Pursuit,1
2017-09-11,There is a Cloud,Elevation Worship,0
2017-09-11,To My Knees,Hillsong Young & Free,1
2017-09-11,Tremble,Mosaic MSC,1
2017-09-11,Trust,Hillsong Young & Free,1
2017-09-11,Wonder,Bethel,0
2017-09-15,Falling Into You,Hillsong Young & Free,0
2017-09-15,My Lighthouse,Rend Collective,0
2017-09-15,Trust,Hillsong Young & Free,0
2017-09-15,You Are Good,Bethel,0
2017-09-18,Closer,Bethel,0
2017-09-18,O Praise the Name (Anástasis),Hillsong Worship,0
2017-09-18,To My Knees,Hillsong Young & Free,0
2017-09-18,Tremble,Mosaic MSC,0
2017-09-22,Build Your Kingdom,Rend Collective,0
2017-09-22,So Good to Me,Cory Asbury,0
2017-09-22,Trust,Hillsong Young & Free,0
2017-09-25,Anchor,Hillsong Worship,0
2017-09-25,Build My Life,Housefires,0
2017-09-25,Jesus I Need You,Hillsong Worship,0
2017-09-25,We Will Not Be Shaken,Bethel,0
2017-10-02,Doxology,Phil Wickham,0
2017-10-02,Great Are You Lord,All Sons and Daughters,0
2017-10-02,So Will I (100 Billion X),Hillsong UNITED,0
2017-10-02,Wonder,Bethel,0
2017-10-06,Build Your Kingdom,Rend Collective,0
2017-10-06,Head to the Heart,United Pursuit,0
2017-10-06,You Are Good,Bethel,0
2017-10-13,Head to the Heart,United Pursuit,0
2017-10-13,My Lighthouse,Rend Collective,0
2017-10-13,So Good to Me,Cory Asbury,0
2017-10-16,New Heart,Mosaic MSC,0
2017-10-16,Oceans (Where Feet May Fail),Hillsong UNITED,0
2017-10-16,Seasons Change,United Pursuit,0
2017-10-16,Set A Fire,Jesus Culture,0
2017-10-23,Closer,Bethel,0
2017-10-23,Forever Reign,Hillsong Worship,0
2017-10-23,O Praise the Name (Anástasis),Hillsong Worship,0
2017-10-23,The Stand,Hillsong UNITED,0
2017-10-30,Build Your Kingdom,Rend Collective,0
2017-10-30,God of This City,Chris Tomlin,0
2017-10-30,Resurrecting,Elevation Worship,0
2017-10-30,Spirit Break Out,Kim Walker-Smith,0
2017-10-30,Tremble,Mosaic MSC,0
2017-11-03,Build Your Kingdom,Rend Collective,0
2017-11-03,Head to the Heart,United Pursuit,0
2017-11-03,Oh How I Need You,All Sons and Daughters,0
2017-11-06,Broken Vessels (Amazing Grace),Hillsong Worship,0
2017-11-06,Build My Life,Housefires,0
2017-11-06,Hungry (Falling On My Knees),Joy Williams,0
2017-11-06,Resurrecting,Elevation Worship,0
2017-11-06,Your Love Never Fails,Jesus Culture,0
2017-11-10,Glorious Day,Passion,0
2017-11-10,My Lighthouse,Rend Collective,0
2017-11-10,You Are Good,Bethel,0
2017-11-13,Ever Be,Bethel,0
2017-11-13,Glorious Day,Passion,0
2017-11-13,So Will I (100 Billion X),Hillsong UNITED,0
2017-11-13,There is a Cloud,Elevation Worship,0
2017-11-20,Be Thou My Vision,Kings Kaleidoscope,0
2017-11-20,Mountain to Valley,Housefires,0
2017-11-20,Never Once,Matt Redman,0
2017-11-20,The Stand,Hillsong UNITED,0
2017-11-27,Broken Vessels (Amazing Grace),Hillsong Worship,0
2017-11-27,O Come to the Altar,Elevation Worship,0
2017-11-27,Scandal of Grace,Hillsong UNITED,0
2017-11-27,So Will I (100 Billion X),Hillsong UNITED,0
2018-01-08,Here as in Heaven,Elevation Worship,1
2018-01-08,Mountain to Valley,Housefires,0
2018-01-08,New Heart,Mosaic MSC,0
2018-01-08,Our Father,Kim Walker-Smith,0
2018-01-08,Resurrecting,Elevation Worship,1
2018-01-08,There is a Cloud,Elevation Worship,1
2018-01-08,Trust,Hillsong Young & Free,0
2018-01-12,Glorious Day,Passion,0
2018-01-12,Trust,Hillsong Young & Free,0
2018-01-12,You Are Good,Bethel,0
2018-01-15,All the Poor and Powerless,All Sons and Daughters,0
2018-01-15,Build My Life,Housefires,0
2018-01-15,Hosanna,Hillsong Worship,0
2018-01-15,Mighty To Save,Hillsong UNITED,0
2018-01-15,The Stand,Hillsong UNITED,0
2018-01-22,Closer,Bethel,0
2018-01-22,On and On,Housefires,0
2018-01-22,There is a Cloud,Elevation Worship,0
2018-01-22,Trust,Hillsong Young & Free,0
2018-01-26,Build Your Kingdom,Rend Collective,0
2018-01-26,My Lighthouse,Rend Collective,0
2018-01-26,Seasons Change,United Pursuit,0
2018-01-29,All the Poor and Powerless,All Sons and Daughters,0
2018-01-29,Closer,Bethel,0
2018-01-29,Come to the River,Housefires,0
2018-01-29,Hungry (Falling On My Knees),Joy Williams,0
2018-02-02,Oh How I Need You,All Sons and Daughters,0
2018-02-02,Seasons Change,United Pursuit,0
2018-02-02,You Are Good,Bethel,0
2018-02-05,Build My Life,Housefires,0
2018-02-05,How He Loves,David Crowder Band,0
2018-02-05,Jesus What a Saviour,Housefires,0
2018-02-05,Reckless Love,Cory Asbury,0
2018-02-05,This Love,Housefires,0
2018-02-09,Build My Life,Housefires,0
2018-02-09,Glorious Day,Passion,0
2018-02-09,Wake,Hillsong Young & Free,0
